time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.3671,1.64282,0.65576,0.34900,86.00000,-73.32825,-108.58015,G7
0.3859,1.62402,0.59583,0.41272,97.72519,-16.93130,-105.02290,G7
0.4029,1.40137,0.56238,0.43213,109.87786,33.32824,-102.12214,G7
0.4210,1.15930,0.59802,0.43164,119.45038,57.35878,-95.87786,G7
0.4370,1.03418,0.69458,0.45679,123.14503,46.96183,-83.86259,G7
0.4511,1.07239,0.78479,0.52075,120.59542,16.33588,-66.09161,G7
0.4674,1.22229,0.83191,0.57385,114.64122,-16.30534,-42.09160,G7
0.4863,1.41333,0.85083,0.60999,110.45802,-32.88550,-16.48855,G7
0.5037,1.53711,0.85620,0.61316,109.63359,-25.43511,5.84733,G7
0.5183,1.54114,0.86230,0.58862,111.35878,2.06107,23.35878,G7
0.5329,1.45007,0.91077,0.59204,114.83969,37.00763,38.51908,G7
0.5517,1.31250,0.98145,0.60608,116.88550,65.86259,54.00000,G7
0.6872,1.17493,1.05237,0.61780,116.54962,82.71756,71.25191,G7
0.8513,1.02966,1.09607,0.70203,114.21374,86.56489,89.67939,G7
0.8674,0.91296,1.09277,0.78308,109.31298,79.23664,107.80153,G7
0.8873,0.83789,1.08496,0.85132,102.91603,64.16794,124.99236,G7
0.8998,0.80652,1.09924,0.89294,94.76336,46.70229,140.61069,G7
0.9159,0.82886,1.15112,0.89502,86.21374,34.88550,153.63359,G7
0.9384,0.86951,1.22168,0.87695,79.05344,32.25954,163.34351,G7
0.9540,0.87146,1.28052,0.83960,73.28244,38.82443,169.77100,G7
0.9676,0.81824,1.32813,0.78552,68.48855,50.47328,174.09160,G7
0.9798,0.73499,1.37122,0.74280,63.34351,60.51908,176.71756,G7
0.9922,0.66882,1.40332,0.69275,57.37405,65.61832,178.74809,G7
1.0064,0.63220,1.41211,0.62891,51.57252,64.65649,182.42747,G7
1.0199,0.63843,1.38513,0.61304,47.86259,62.07634,188.36641,G7
1.0327,0.65344,1.36414,0.58594,46.61069,63.57252,196.39694,G7
1.1533,0.66040,1.37402,0.53918,47.09924,73.64886,204.32062,G7
1.2740,0.65479,1.39954,0.49597,48.73283,90.00000,210.99237,G7
1.3313,0.61169,1.43030,0.46252,49.96947,108.18320,216.47328,G7
1.3478,0.53479,1.46313,0.43701,49.58779,123.80153,220.62596,G7
1.3657,0.44421,1.47473,0.42212,47.55725,132.64122,223.22137,G7
1.3809,0.34265,1.47083,0.44702,44.30534,132.87022,224.47328,G7
1.3976,0.27649,1.45557,0.45447,39.55725,125.12977,225.20610,G7
1.4245,0.24146,1.43066,0.46497,33.70992,110.42748,226.80916,G7
1.4389,0.21436,1.39014,0.47107,26.77863,93.02290,229.06870,G7
1.4545,0.19165,1.34497,0.46973,19.17557,74.82442,229.89313,G7
1.4687,0.16077,1.28699,0.46704,11.38931,55.64885,227.67938,G7
1.4844,0.13501,1.21277,0.44531,4.85496,38.44275,222.10687,G7
1.5005,0.12256,1.13745,0.41687,1.12977,27.28244,213.49619,G7
1.5154,0.10510,1.06458,0.39453,-0.51908,25.46565,202.64122,G7
1.6243,0.07166,0.97913,0.37524,-0.65649,31.40458,188.87022,G7
1.6467,0.04602,0.90137,0.35229,1.14504,41.45038,172.24428,G7
1.7900,0.00122,0.83752,0.34412,5.11450,52.42748,153.92366,G7
1.8052,-0.02869,0.78882,0.33960,9.90840,61.69466,133.92366,G7
1.8206,-0.00854,0.75574,0.33899,13.93893,68.91603,113.84733,G7
1.8495,0.06763,0.75476,0.32458,16.33588,77.05344,96.61069,G7
1.8647,0.14148,0.76843,0.32349,17.61832,92.06107,82.87023,G7
1.8808,0.18591,0.77490,0.32971,18.45802,112.19847,71.75572,G7
1.8936,0.15430,0.77112,0.38379,19.89313,127.06870,62.27481,G7
1.9058,0.07410,0.74792,0.43481,19.60305,122.62595,52.65649,G7
1.9193,0.03455,0.69470,0.46704,17.77099,95.52672,42.54962,G7
1.9324,0.12927,0.62219,0.50488,13.86260,58.32061,33.95420,G7
1.9486,0.32227,0.57239,0.53540,8.16794,27.61832,29.37405,G7
1.9629,0.48254,0.55530,0.53430,3.77099,17.19084,27.86259,G7
2.0742,0.57202,0.55420,0.51208,1.89313,27.05343,21.43511,G7
2.1113,0.54236,0.54468,0.52881,0.94656,43.26717,10.45802,G7
2.2331,0.45081,0.53369,0.55139,-1.72519,50.65649,-0.83969,G7
2.2535,0.40295,0.53711,0.57422,-6.58015,41.93893,-9.08397,G7
2.2693,0.43311,0.54468,0.58691,-13.05344,21.14504,-13.74046,G7
2.3072,0.49609,0.54602,0.59265,-19.34351,-1.22137,-14.88550,G7
2.3227,0.55762,0.52405,0.59021,-24.12214,-18.67175,-15.43511,G7
2.3366,0.62000,0.51074,0.58655,-26.79389,-28.13741,-18.88550,G7
2.3508,0.68481,0.51636,0.56421,-28.50382,-29.03817,-24.16794,G7
2.3663,0.74512,0.51917,0.57117,-30.44275,-24.00000,-25.55725,G7
2.3814,0.76672,0.53467,0.57971,-32.04580,-16.33588,-21.98473,G7
2.3946,0.75427,0.55750,0.58008,-32.65649,-9.03817,-17.31298,G7
2.4102,0.74817,0.56458,0.56995,-33.69466,-3.90840,-16.21374,G7
2.4252,0.74243,0.56372,0.57227,-34.82443,-1.95420,-16.33588,G7
2.5519,0.73987,0.56531,0.57605,-35.70992,-2.99237,-15.51145,G7
2.7643,0.75171,0.55859,0.57629,-36.33588,-5.00763,-13.57252,G7
2.7897,0.77258,0.54016,0.57776,-36.45802,-5.96947,-11.40458,G7
2.8051,0.80640,0.53015,0.59839,-35.98473,-5.92366,-9.75572,G7
2.8186,0.83923,0.53198,0.61951,-34.80916,-3.52672,-8.36641,G7
2.8503,0.88501,0.55261,0.63721,-32.87023,3.86260,-6.47328,G7
2.8645,0.92896,0.58569,0.64282,-31.51145,15.81679,-3.03817,G7
2.8786,0.96765,0.60889,0.62891,-30.97710,34.59542,2.01527,G7
2.8981,1.00159,0.63159,0.61694,-30.58015,59.37405,7.75573,G7
2.9118,1.03503,0.64355,0.62830,-30.62595,86.67175,13.55725,G7
2.9256,1.06458,0.64612,0.64648,-30.35114,115.23664,19.48092,G7
2.9424,1.04443,0.64209,0.68542,-28.45802,144.65649,26.54962,G7
2.9550,0.99695,0.62537,0.73340,-24.88550,173.86259,33.70992,G7
2.9681,0.94348,0.61951,0.78577,-19.92366,199.19084,40.51908,G7
3.0868,0.87915,0.64026,0.87744,-15.57252,220.99237,47.34351,G7
3.2660,0.77625,0.67395,0.96130,-14.53435,240.90076,53.51145,G7
3.2810,0.41174,0.70325,1.16602,-20.51908,252.48856,58.42748,G7
3.2974,0.28467,0.69214,1.27087,-29.61832,230.54962,56.59542,G7
3.3102,0.22632,0.68347,1.34192,-43.69466,192.74809,54.47328,G7
3.3368,0.22620,0.67957,1.37549,-61.89313,151.78625,53.64885,G7
3.3506,0.18958,0.64124,1.37915,-82.41222,118.38168,52.64122,G7
3.3651,0.12915,0.57153,1.37341,-100.48855,95.08397,46.44275,G7
3.3783,0.08130,0.48828,1.36646,-113.23664,79.61832,36.01527,G7
3.3921,0.01575,0.40686,1.38379,-121.83206,68.80916,24.87023,G7
3.4090,-0.07007,0.34412,1.38330,-128.44275,56.29008,10.67176,G7
3.4245,-0.15906,0.28845,1.35974,-134.59541,40.21374,-6.62595,G7
3.4433,-0.20703,0.24048,1.33887,-141.06870,19.78626,-24.33588,G7
3.5361,-0.16309,0.18579,1.30615,-148.44275,-2.25954,-38.39695,G7
3.6824,-0.00574,0.13647,1.25317,-155.69466,-18.35114,-45.69466,G7
3.7107,0.17346,0.10803,1.17261,-161.14503,-19.89313,-47.89313,G7
3.7283,0.29407,0.05957,1.08679,-162.70229,-2.48855,-49.74046,G7
3.7421,0.32629,-0.00256,1.02661,-158.10687,28.27481,-54.06107,G7
3.7682,0.29028,-0.04797,1.00317,-149.02290,60.30534,-60.61069,G7
3.7839,0.18579,-0.06128,1.00098,-139.70993,81.34351,-68.01527,G7
3.7975,0.10046,-0.06030,1.01331,-132.42747,84.24428,-77.05344,G7
3.8119,0.09717,-0.07251,0.99231,-129.26718,70.32061,-86.07633,G7
3.8252,0.18982,-0.09155,0.96606,-128.27481,48.97710,-93.48092,G7
3.8404,0.36853,-0.10181,0.94336,-127.96947,34.50382,-97.90839,G7
3.8583,0.55420,-0.12830,0.88501,-126.01527,38.64122,-98.45802,G7
3.8715,0.64001,-0.16809,0.83252,-118.87023,63.19084,-95.81680,G7
3.8864,0.61633,-0.20679,0.79565,-106.45802,99.16031,-93.80153,G7
3.9879,0.51611,-0.22180,0.79456,-92.00000,132.59541,-95.43511,G7
4.1480,0.35693,-0.22839,0.80286,-79.31298,153.22137,-100.76336,G7
