session_id,subject_id,label_id,label_name,trial,duration_s,samples,path,recorded_at
20260514_084740,S01,G1,star_first,001,3.788,116,data\raw\S01\G1\20260514_084740_S01_G1_T001.csv,2026-05-14T08:47:45
20260514_084740,S01,G1,star_first,002,4.078,120,data\raw\S01\G1\20260514_084740_S01_G1_T002.csv,2026-05-14T08:47:50
20260514_084740,S01,G1,star_first,003,3.971,115,data\raw\S01\G1\20260514_084740_S01_G1_T003.csv,2026-05-14T08:47:55
20260514_084740,S01,G1,star_first,004,3.886,119,data\raw\S01\G1\20260514_084740_S01_G1_T004.csv,2026-05-14T08:48:00
20260514_084740,S01,G1,star_first,005,3.852,123,data\raw\S01\G1\20260514_084740_S01_G1_T005.csv,2026-05-14T08:48:06
20260514_084740,S01,G1,star_first,006,3.931,122,data\raw\S01\G1\20260514_084740_S01_G1_T006.csv,2026-05-14T08:48:11
20260514_084740,S01,G1,star_first,007,3.953,110,data\raw\S01\G1\20260514_084740_S01_G1_T007.csv,2026-05-14T08:48:16
20260514_084740,S01,G1,star_first,008,3.806,118,data\raw\S01\G1\20260514_084740_S01_G1_T008.csv,2026-05-14T08:48:21
20260514_084740,S01,G1,star_first,009,3.830,122,data\raw\S01\G1\20260514_084740_S01_G1_T009.csv,2026-05-14T08:48:26
20260514_084740,S01,G1,star_first,010,3.913,111,data\raw\S01\G1\20260514_084740_S01_G1_T010.csv,2026-05-14T08:48:31
20260514_084740,S01,G1,star_first,011,3.846,126,data\raw\S01\G1\20260514_084740_S01_G1_T011.csv,2026-05-14T08:48:37
20260514_084740,S01,G1,star_first,012,3.926,117,data\raw\S01\G1\20260514_084740_S01_G1_T012.csv,2026-05-14T08:48:42
20260514_084740,S01,G1,star_first,013,3.822,117,data\raw\S01\G1\20260514_084740_S01_G1_T013.csv,2026-05-14T08:48:47
20260514_084740,S01,G1,star_first,014,4.053,116,data\raw\S01\G1\20260514_084740_S01_G1_T014.csv,2026-05-14T08:48:52
20260514_084740,S01,G1,star_first,015,4.035,129,data\raw\S01\G1\20260514_084740_S01_G1_T015.csv,2026-05-14T08:48:57
20260514_084740,S01,G1,star_first,016,3.964,128,data\raw\S01\G1\20260514_084740_S01_G1_T016.csv,2026-05-14T08:49:02
20260514_084740,S01,G1,star_first,017,3.843,118,data\raw\S01\G1\20260514_084740_S01_G1_T017.csv,2026-05-14T08:49:08
20260514_084740,S01,G1,star_first,018,4.119,117,data\raw\S01\G1\20260514_084740_S01_G1_T018.csv,2026-05-14T08:49:13
20260514_084740,S01,G1,star_first,019,4.071,112,data\raw\S01\G1\20260514_084740_S01_G1_T019.csv,2026-05-14T08:49:18
20260514_084740,S01,G1,star_first,020,3.972,116,data\raw\S01\G1\20260514_084740_S01_G1_T020.csv,2026-05-14T08:49:23
20260514_084740,S01,G1,star_first,021,3.996,109,data\raw\S01\G1\20260514_084740_S01_G1_T021.csv,2026-05-14T08:49:29
20260514_084740,S01,G1,star_first,022,4.060,123,data\raw\S01\G1\20260514_084740_S01_G1_T022.csv,2026-05-14T08:49:34
20260514_084740,S01,G1,star_first,023,4.060,118,data\raw\S01\G1\20260514_084740_S01_G1_T023.csv,2026-05-14T08:49:39
20260514_084740,S01,G1,star_first,024,3.975,121,data\raw\S01\G1\20260514_084740_S01_G1_T024.csv,2026-05-14T08:49:44
20260514_084740,S01,G1,star_first,025,3.997,129,data\raw\S01\G1\20260514_084740_S01_G1_T025.csv,2026-05-14T08:49:50
20260514_084740,S01,G1,star_first,026,3.869,128,data\raw\S01\G1\20260514_084740_S01_G1_T026.csv,2026-05-14T08:49:55
20260514_084740,S01,G1,star_first,027,3.970,117,data\raw\S01\G1\20260514_084740_S01_G1_T027.csv,2026-05-14T08:50:00
20260514_084740,S01,G1,star_first,028,3.840,124,data\raw\S01\G1\20260514_084740_S01_G1_T028.csv,2026-05-14T08:50:05
20260514_084740,S01,G1,star_first,029,3.782,114,data\raw\S01\G1\20260514_084740_S01_G1_T029.csv,2026-05-14T08:50:10
20260514_084740,S01,G1,star_first,030,3.980,115,data\raw\S01\G1\20260514_084740_S01_G1_T030.csv,2026-05-14T08:50:15
20260514_101431,S01,G10,light_on,001,3.858,124,data\raw\S01\G10\20260514_101431_S01_G10_T001.csv,2026-05-14T10:14:36
20260514_101431,S01,G10,light_on,002,3.975,115,data\raw\S01\G10\20260514_101431_S01_G10_T002.csv,2026-05-14T10:14:42
20260514_101431,S01,G10,light_on,003,3.982,112,data\raw\S01\G10\20260514_101431_S01_G10_T003.csv,2026-05-14T10:14:47
20260514_101431,S01,G10,light_on,004,3.838,109,data\raw\S01\G10\20260514_101431_S01_G10_T004.csv,2026-05-14T10:14:52
20260514_101431,S01,G10,light_on,005,4.077,112,data\raw\S01\G10\20260514_101431_S01_G10_T005.csv,2026-05-14T10:14:57
20260514_101431,S01,G10,light_on,006,4.100,112,data\raw\S01\G10\20260514_101431_S01_G10_T006.csv,2026-05-14T10:15:02
20260514_101431,S01,G10,light_on,007,3.959,106,data\raw\S01\G10\20260514_101431_S01_G10_T007.csv,2026-05-14T10:15:08
20260514_101431,S01,G10,light_on,008,3.818,113,data\raw\S01\G10\20260514_101431_S01_G10_T008.csv,2026-05-14T10:15:13
20260514_101431,S01,G10,light_on,009,3.961,110,data\raw\S01\G10\20260514_101431_S01_G10_T009.csv,2026-05-14T10:15:18
20260514_101431,S01,G10,light_on,010,3.977,116,data\raw\S01\G10\20260514_101431_S01_G10_T010.csv,2026-05-14T10:15:23
20260514_101431,S01,G10,light_on,011,3.868,110,data\raw\S01\G10\20260514_101431_S01_G10_T011.csv,2026-05-14T10:15:28
20260514_101431,S01,G10,light_on,012,3.860,112,data\raw\S01\G10\20260514_101431_S01_G10_T012.csv,2026-05-14T10:15:34
20260514_101431,S01,G10,light_on,013,3.814,115,data\raw\S01\G10\20260514_101431_S01_G10_T013.csv,2026-05-14T10:15:39
20260514_101431,S01,G10,light_on,014,3.981,122,data\raw\S01\G10\20260514_101431_S01_G10_T014.csv,2026-05-14T10:15:44
20260514_101431,S01,G10,light_on,015,3.945,113,data\raw\S01\G10\20260514_101431_S01_G10_T015.csv,2026-05-14T10:15:49
20260514_101431,S01,G10,light_on,016,3.935,108,data\raw\S01\G10\20260514_101431_S01_G10_T016.csv,2026-05-14T10:15:55
20260514_101431,S01,G10,light_on,017,3.976,123,data\raw\S01\G10\20260514_101431_S01_G10_T017.csv,2026-05-14T10:16:00
20260514_101431,S01,G10,light_on,018,3.969,120,data\raw\S01\G10\20260514_101431_S01_G10_T018.csv,2026-05-14T10:16:05
20260514_101431,S01,G10,light_on,019,3.899,109,data\raw\S01\G10\20260514_101431_S01_G10_T019.csv,2026-05-14T10:16:10
20260514_101431,S01,G10,light_on,020,3.790,118,data\raw\S01\G10\20260514_101431_S01_G10_T020.csv,2026-05-14T10:16:15
20260514_101431,S01,G10,light_on,021,4.021,118,data\raw\S01\G10\20260514_101431_S01_G10_T021.csv,2026-05-14T10:16:21
20260514_101431,S01,G10,light_on,022,3.966,114,data\raw\S01\G10\20260514_101431_S01_G10_T022.csv,2026-05-14T10:16:26
20260514_101431,S01,G10,light_on,023,3.898,116,data\raw\S01\G10\20260514_101431_S01_G10_T023.csv,2026-05-14T10:16:31
20260514_101431,S01,G10,light_on,024,3.782,110,data\raw\S01\G10\20260514_101431_S01_G10_T024.csv,2026-05-14T10:16:36
20260514_101431,S01,G10,light_on,025,3.832,116,data\raw\S01\G10\20260514_101431_S01_G10_T025.csv,2026-05-14T10:16:41
20260514_101431,S01,G10,light_on,026,3.816,111,data\raw\S01\G10\20260514_101431_S01_G10_T026.csv,2026-05-14T10:16:46
20260514_101431,S01,G10,light_on,027,3.970,114,data\raw\S01\G10\20260514_101431_S01_G10_T027.csv,2026-05-14T10:16:51
20260514_101431,S01,G10,light_on,028,3.845,122,data\raw\S01\G10\20260514_101431_S01_G10_T028.csv,2026-05-14T10:16:57
20260514_101431,S01,G10,light_on,029,3.870,110,data\raw\S01\G10\20260514_101431_S01_G10_T029.csv,2026-05-14T10:17:02
20260514_101431,S01,G10,light_on,030,3.969,113,data\raw\S01\G10\20260514_101431_S01_G10_T030.csv,2026-05-14T10:17:07
20260514_101431,S01,G10,light_on,031,3.857,108,data\raw\S01\G10\20260514_101431_S01_G10_T031.csv,2026-05-14T10:17:12
20260514_101431,S01,G10,light_on,032,4.137,111,data\raw\S01\G10\20260514_101431_S01_G10_T032.csv,2026-05-14T10:17:17
20260514_101431,S01,G10,light_on,033,3.897,112,data\raw\S01\G10\20260514_101431_S01_G10_T033.csv,2026-05-14T10:17:22
20260514_101431,S01,G10,light_on,034,3.875,115,data\raw\S01\G10\20260514_101431_S01_G10_T034.csv,2026-05-14T10:17:28
20260514_101431,S01,G10,light_on,035,3.838,107,data\raw\S01\G10\20260514_101431_S01_G10_T035.csv,2026-05-14T10:17:33
20260514_101431,S01,G10,light_on,036,3.856,109,data\raw\S01\G10\20260514_101431_S01_G10_T036.csv,2026-05-14T10:17:38
20260514_101431,S01,G10,light_on,037,3.972,116,data\raw\S01\G10\20260514_101431_S01_G10_T037.csv,2026-05-14T10:17:43
20260514_101431,S01,G10,light_on,038,3.971,113,data\raw\S01\G10\20260514_101431_S01_G10_T038.csv,2026-05-14T10:17:48
20260514_101431,S01,G10,light_on,039,3.870,111,data\raw\S01\G10\20260514_101431_S01_G10_T039.csv,2026-05-14T10:17:53
20260514_101431,S01,G10,light_on,040,3.971,118,data\raw\S01\G10\20260514_101431_S01_G10_T040.csv,2026-05-14T10:17:59
20260514_101431,S01,G10,light_on,041,3.841,117,data\raw\S01\G10\20260514_101431_S01_G10_T041.csv,2026-05-14T10:18:04
20260514_101431,S01,G10,light_on,042,3.822,116,data\raw\S01\G10\20260514_101431_S01_G10_T042.csv,2026-05-14T10:18:09
20260514_102731,S01,G11,light_off,001,3.987,122,data\raw\S01\G11\20260514_102731_S01_G11_T001.csv,2026-05-14T10:27:36
20260514_102731,S01,G11,light_off,002,3.967,121,data\raw\S01\G11\20260514_102731_S01_G11_T002.csv,2026-05-14T10:27:41
20260514_102731,S01,G11,light_off,003,3.821,115,data\raw\S01\G11\20260514_102731_S01_G11_T003.csv,2026-05-14T10:27:46
20260514_102731,S01,G11,light_off,004,3.772,112,data\raw\S01\G11\20260514_102731_S01_G11_T004.csv,2026-05-14T10:27:51
20260514_102731,S01,G11,light_off,005,3.972,116,data\raw\S01\G11\20260514_102731_S01_G11_T005.csv,2026-05-14T10:27:57
20260514_102731,S01,G11,light_off,006,3.976,130,data\raw\S01\G11\20260514_102731_S01_G11_T006.csv,2026-05-14T10:28:02
20260514_102731,S01,G11,light_off,007,3.988,118,data\raw\S01\G11\20260514_102731_S01_G11_T007.csv,2026-05-14T10:28:07
20260514_102731,S01,G11,light_off,008,3.988,125,data\raw\S01\G11\20260514_102731_S01_G11_T008.csv,2026-05-14T10:28:12
20260514_102731,S01,G11,light_off,009,3.974,113,data\raw\S01\G11\20260514_102731_S01_G11_T009.csv,2026-05-14T10:28:18
20260514_102731,S01,G11,light_off,010,4.082,121,data\raw\S01\G11\20260514_102731_S01_G11_T010.csv,2026-05-14T10:28:23
20260514_102731,S01,G11,light_off,011,3.999,118,data\raw\S01\G11\20260514_102731_S01_G11_T011.csv,2026-05-14T10:28:28
20260514_102731,S01,G11,light_off,012,3.979,110,data\raw\S01\G11\20260514_102731_S01_G11_T012.csv,2026-05-14T10:28:33
20260514_102731,S01,G11,light_off,013,3.842,111,data\raw\S01\G11\20260514_102731_S01_G11_T013.csv,2026-05-14T10:28:38
20260514_102731,S01,G11,light_off,014,3.958,121,data\raw\S01\G11\20260514_102731_S01_G11_T014.csv,2026-05-14T10:28:44
20260514_102731,S01,G11,light_off,015,4.024,122,data\raw\S01\G11\20260514_102731_S01_G11_T015.csv,2026-05-14T10:28:49
20260514_102731,S01,G11,light_off,016,3.985,110,data\raw\S01\G11\20260514_102731_S01_G11_T016.csv,2026-05-14T10:28:54
20260514_102731,S01,G11,light_off,017,3.858,123,data\raw\S01\G11\20260514_102731_S01_G11_T017.csv,2026-05-14T10:28:59
20260514_102731,S01,G11,light_off,018,3.856,115,data\raw\S01\G11\20260514_102731_S01_G11_T018.csv,2026-05-14T10:29:04
20260514_102731,S01,G11,light_off,019,3.826,106,data\raw\S01\G11\20260514_102731_S01_G11_T019.csv,2026-05-14T10:29:09
20260514_102731,S01,G11,light_off,020,3.984,109,data\raw\S01\G11\20260514_102731_S01_G11_T020.csv,2026-05-14T10:29:15
20260514_102731,S01,G11,light_off,021,3.944,120,data\raw\S01\G11\20260514_102731_S01_G11_T021.csv,2026-05-14T10:29:20
20260514_102731,S01,G11,light_off,022,3.921,112,data\raw\S01\G11\20260514_102731_S01_G11_T022.csv,2026-05-14T10:29:25
20260514_102731,S01,G11,light_off,023,3.835,110,data\raw\S01\G11\20260514_102731_S01_G11_T023.csv,2026-05-14T10:29:30
20260514_102731,S01,G11,light_off,024,3.886,117,data\raw\S01\G11\20260514_102731_S01_G11_T024.csv,2026-05-14T10:29:35
20260514_102731,S01,G11,light_off,025,4.047,116,data\raw\S01\G11\20260514_102731_S01_G11_T025.csv,2026-05-14T10:29:41
20260514_102731,S01,G11,light_off,026,3.967,110,data\raw\S01\G11\20260514_102731_S01_G11_T026.csv,2026-05-14T10:29:46
20260514_102731,S01,G11,light_off,027,4.115,114,data\raw\S01\G11\20260514_102731_S01_G11_T027.csv,2026-05-14T10:29:51
20260514_102731,S01,G11,light_off,028,3.743,108,data\raw\S01\G11\20260514_102731_S01_G11_T028.csv,2026-05-14T10:29:56
20260514_102731,S01,G11,light_off,029,4.072,121,data\raw\S01\G11\20260514_102731_S01_G11_T029.csv,2026-05-14T10:30:01
20260514_102731,S01,G11,light_off,030,3.875,122,data\raw\S01\G11\20260514_102731_S01_G11_T030.csv,2026-05-14T10:30:07
20260514_102731,S01,G11,light_off,031,4.061,118,data\raw\S01\G11\20260514_102731_S01_G11_T031.csv,2026-05-14T10:30:12
20260514_102731,S01,G11,light_off,032,3.935,117,data\raw\S01\G11\20260514_102731_S01_G11_T032.csv,2026-05-14T10:30:17
20260514_102731,S01,G11,light_off,033,3.929,118,data\raw\S01\G11\20260514_102731_S01_G11_T033.csv,2026-05-14T10:30:22
20260514_102731,S01,G11,light_off,034,3.962,121,data\raw\S01\G11\20260514_102731_S01_G11_T034.csv,2026-05-14T10:30:28
20260514_102731,S01,G11,light_off,035,3.938,120,data\raw\S01\G11\20260514_102731_S01_G11_T035.csv,2026-05-14T10:30:33
20260514_102731,S01,G11,light_off,036,4.105,126,data\raw\S01\G11\20260514_102731_S01_G11_T036.csv,2026-05-14T10:30:38
20260514_102731,S01,G11,light_off,037,3.987,111,data\raw\S01\G11\20260514_102731_S01_G11_T037.csv,2026-05-14T10:30:43
20260514_102731,S01,G11,light_off,038,3.924,119,data\raw\S01\G11\20260514_102731_S01_G11_T038.csv,2026-05-14T10:30:48
20260514_102731,S01,G11,light_off,039,3.965,123,data\raw\S01\G11\20260514_102731_S01_G11_T039.csv,2026-05-14T10:30:54
20260514_102731,S01,G11,light_off,040,3.871,115,data\raw\S01\G11\20260514_102731_S01_G11_T040.csv,2026-05-14T10:30:59
20260514_102731,S01,G11,light_off,041,4.021,113,data\raw\S01\G11\20260514_102731_S01_G11_T041.csv,2026-05-14T10:31:04
20260514_102731,S01,G11,light_off,042,3.914,123,data\raw\S01\G11\20260514_102731_S01_G11_T042.csv,2026-05-14T10:31:09
20260514_102731,S01,G11,light_off,043,4.083,127,data\raw\S01\G11\20260514_102731_S01_G11_T043.csv,2026-05-14T10:31:15
20260514_102731,S01,G11,light_off,044,3.972,120,data\raw\S01\G11\20260514_102731_S01_G11_T044.csv,2026-05-14T10:31:20
20260514_102731,S01,G11,light_off,045,3.906,122,data\raw\S01\G11\20260514_102731_S01_G11_T045.csv,2026-05-14T10:31:25
20260514_102731,S01,G11,light_off,046,4.064,121,data\raw\S01\G11\20260514_102731_S01_G11_T046.csv,2026-05-14T10:31:30
20260514_102731,S01,G11,light_off,047,3.782,116,data\raw\S01\G11\20260514_102731_S01_G11_T047.csv,2026-05-14T10:31:35
20260514_102731,S01,G11,light_off,048,4.050,124,data\raw\S01\G11\20260514_102731_S01_G11_T048.csv,2026-05-14T10:31:40
20260514_102731,S01,G11,light_off,049,3.992,122,data\raw\S01\G11\20260514_102731_S01_G11_T049.csv,2026-05-14T10:31:46
20260514_102731,S01,G11,light_off,050,3.838,122,data\raw\S01\G11\20260514_102731_S01_G11_T050.csv,2026-05-14T10:31:51
20260514_103414,S01,G12,curtain_close,001,3.937,114,data\raw\S01\G12\20260514_103414_S01_G12_T001.csv,2026-05-14T10:34:19
20260514_103414,S01,G12,curtain_close,002,4.041,121,data\raw\S01\G12\20260514_103414_S01_G12_T002.csv,2026-05-14T10:34:24
20260514_103414,S01,G12,curtain_close,003,4.082,123,data\raw\S01\G12\20260514_103414_S01_G12_T003.csv,2026-05-14T10:34:30
20260514_103414,S01,G12,curtain_close,004,3.931,126,data\raw\S01\G12\20260514_103414_S01_G12_T004.csv,2026-05-14T10:34:35
20260514_103414,S01,G12,curtain_close,005,3.976,114,data\raw\S01\G12\20260514_103414_S01_G12_T005.csv,2026-05-14T10:34:40
20260514_103414,S01,G12,curtain_close,006,3.881,115,data\raw\S01\G12\20260514_103414_S01_G12_T006.csv,2026-05-14T10:34:45
20260514_103414,S01,G12,curtain_close,007,3.817,111,data\raw\S01\G12\20260514_103414_S01_G12_T007.csv,2026-05-14T10:34:50
20260514_103414,S01,G12,curtain_close,008,3.978,117,data\raw\S01\G12\20260514_103414_S01_G12_T008.csv,2026-05-14T10:34:56
20260514_103414,S01,G12,curtain_close,009,3.966,117,data\raw\S01\G12\20260514_103414_S01_G12_T009.csv,2026-05-14T10:35:01
20260514_103414,S01,G12,curtain_close,010,3.837,113,data\raw\S01\G12\20260514_103414_S01_G12_T010.csv,2026-05-14T10:35:06
20260514_103414,S01,G12,curtain_close,011,4.066,115,data\raw\S01\G12\20260514_103414_S01_G12_T011.csv,2026-05-14T10:35:11
20260514_103414,S01,G12,curtain_close,012,3.921,115,data\raw\S01\G12\20260514_103414_S01_G12_T012.csv,2026-05-14T10:35:16
20260514_103414,S01,G12,curtain_close,013,3.816,111,data\raw\S01\G12\20260514_103414_S01_G12_T013.csv,2026-05-14T10:35:21
20260514_103414,S01,G12,curtain_close,014,4.120,116,data\raw\S01\G12\20260514_103414_S01_G12_T014.csv,2026-05-14T10:35:27
20260514_103414,S01,G12,curtain_close,015,4.019,116,data\raw\S01\G12\20260514_103414_S01_G12_T015.csv,2026-05-14T10:35:32
20260514_103414,S01,G12,curtain_close,016,3.980,116,data\raw\S01\G12\20260514_103414_S01_G12_T016.csv,2026-05-14T10:35:37
20260514_103414,S01,G12,curtain_close,017,3.997,112,data\raw\S01\G12\20260514_103414_S01_G12_T017.csv,2026-05-14T10:35:42
20260514_103414,S01,G12,curtain_close,018,3.789,121,data\raw\S01\G12\20260514_103414_S01_G12_T018.csv,2026-05-14T10:35:48
20260514_103414,S01,G12,curtain_close,019,3.824,118,data\raw\S01\G12\20260514_103414_S01_G12_T019.csv,2026-05-14T10:35:53
20260514_103414,S01,G12,curtain_close,020,3.857,115,data\raw\S01\G12\20260514_103414_S01_G12_T020.csv,2026-05-14T10:35:58
20260514_103414,S01,G12,curtain_close,021,4.030,122,data\raw\S01\G12\20260514_103414_S01_G12_T021.csv,2026-05-14T10:36:03
20260514_103414,S01,G12,curtain_close,022,4.050,118,data\raw\S01\G12\20260514_103414_S01_G12_T022.csv,2026-05-14T10:36:08
20260514_103414,S01,G12,curtain_close,023,3.955,121,data\raw\S01\G12\20260514_103414_S01_G12_T023.csv,2026-05-14T10:36:14
20260514_103414,S01,G12,curtain_close,024,4.104,124,data\raw\S01\G12\20260514_103414_S01_G12_T024.csv,2026-05-14T10:36:19
20260514_103414,S01,G12,curtain_close,025,3.836,124,data\raw\S01\G12\20260514_103414_S01_G12_T025.csv,2026-05-14T10:36:24
20260514_103414,S01,G12,curtain_close,026,3.893,123,data\raw\S01\G12\20260514_103414_S01_G12_T026.csv,2026-05-14T10:36:29
20260514_103414,S01,G12,curtain_close,027,3.951,114,data\raw\S01\G12\20260514_103414_S01_G12_T027.csv,2026-05-14T10:36:34
20260514_103414,S01,G12,curtain_close,028,3.960,124,data\raw\S01\G12\20260514_103414_S01_G12_T028.csv,2026-05-14T10:36:40
20260514_103414,S01,G12,curtain_close,029,4.004,116,data\raw\S01\G12\20260514_103414_S01_G12_T029.csv,2026-05-14T10:36:45
20260514_103414,S01,G12,curtain_close,030,3.706,111,data\raw\S01\G12\20260514_103414_S01_G12_T030.csv,2026-05-14T10:36:50
20260514_103414,S01,G12,curtain_close,031,3.974,113,data\raw\S01\G12\20260514_103414_S01_G12_T031.csv,2026-05-14T10:36:55
20260514_103414,S01,G12,curtain_close,032,3.805,115,data\raw\S01\G12\20260514_103414_S01_G12_T032.csv,2026-05-14T10:37:00
20260514_103414,S01,G12,curtain_close,033,3.792,114,data\raw\S01\G12\20260514_103414_S01_G12_T033.csv,2026-05-14T10:37:05
