time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.1743,-0.26855,-0.71313,0.54395,33.74046,-48.21374,-50.76336,N4
0.2193,-0.24011,-0.69592,0.53662,42.36641,-66.65649,-54.64122,N4
0.3509,-0.24011,-0.69592,0.53662,42.36641,-66.65649,-54.64122,N4
0.3698,-0.21533,-0.67847,0.55823,46.04580,-74.33588,-56.74809,N4
0.3848,-0.18530,-0.66321,0.58044,49.03817,-81.06870,-59.78626,N4
0.4041,-0.15637,-0.65027,0.60681,51.70992,-86.68702,-63.11450,N4
0.4282,-0.10596,-0.63318,0.65051,55.60305,-95.58778,-70.45802,N4
0.4475,-0.08679,-0.62219,0.67273,57.11450,-97.57252,-74.59542,N4
0.4622,-0.07153,-0.61462,0.68567,58.25954,-100.96183,-78.62595,N4
0.4754,-0.05078,-0.60315,0.68201,58.91603,-105.63359,-82.21374,N4
0.4903,-0.03235,-0.59839,0.63428,59.95420,-111.48092,-85.40458,N4
0.5067,0.00366,-0.58362,0.59143,62.15267,-117.72519,-88.36641,N4
0.5203,0.05469,-0.56506,0.55054,65.02290,-122.90076,-90.33588,N4
0.5346,0.10437,-0.54321,0.53882,68.48855,-126.68702,-91.70992,N4
0.6814,0.16052,-0.52112,0.57568,72.25954,-128.19847,-93.74046,N4
0.8824,0.20398,-0.48621,0.64685,75.17558,-126.97710,-96.93130,N4
0.8979,0.22888,-0.46411,0.72791,76.44275,-124.15267,-98.47328,N4
0.9169,0.25537,-0.44739,0.79077,76.21374,-120.33588,-101.61832,N4
0.9406,0.29028,-0.43494,0.80469,74.53435,-116.82442,-105.52672,N4
0.9569,0.32605,-0.40955,0.76526,72.68702,-115.26717,-109.34351,N4
0.9695,0.35950,-0.38403,0.69836,71.57252,-116.25954,-111.95420,N4
0.9824,0.38928,-0.35974,0.63660,72.06107,-118.73283,-112.77863,N4
0.9967,0.43335,-0.33521,0.60120,73.72519,-121.96947,-112.04580,N4
1.0116,0.49329,-0.31311,0.61853,75.78626,-123.87786,-111.05344,N4
1.0258,0.54687,-0.28430,0.68274,77.43511,-122.53435,-110.24428,N4
1.0410,0.59680,-0.25330,0.76233,77.46565,-118.01527,-109.95420,N4
1.0623,0.63110,-0.23767,0.82446,75.12977,-110.45802,-110.16794,N4
1.1998,0.66370,-0.22400,0.85889,71.02290,-100.59542,-110.97710,N4
1.3654,0.68689,-0.19678,0.84583,65.93893,-90.09161,-111.51145,N4
1.3910,0.68896,-0.18213,0.77832,60.99237,-80.82442,-111.41985,N4
1.4061,0.68396,-0.15356,0.72375,57.37405,-74.70229,-110.59542,N4
1.4200,0.68762,-0.12683,0.68982,55.29771,-73.51145,-107.41985,N4
1.4566,0.71411,-0.09717,0.68677,54.65649,-75.38931,-102.70229,N4
1.4724,0.75818,-0.07861,0.72595,53.95420,-76.35114,-97.58778,N4
1.4850,0.80444,-0.07068,0.78125,52.47328,-73.51145,-93.51145,N4
1.4978,0.83789,-0.08105,0.81079,49.81680,-66.16794,-89.86259,N4
1.5112,0.86316,-0.07886,0.83655,46.24427,-54.41221,-86.91603,N4
1.5259,0.86975,-0.07300,0.84583,41.64885,-39.77099,-83.69466,N4
1.5406,0.86316,-0.06714,0.83972,36.82443,-24.73282,-80.70229,N4
1.5563,0.83105,-0.06152,0.80371,32.45802,-12.04580,-77.87786,N4
1.6972,0.80334,-0.04602,0.76599,28.79389,-3.61832,-74.68702,N4
1.8749,0.78796,-0.02966,0.75342,26.03053,-0.39695,-70.00000,N4
1.9451,0.80591,-0.01892,0.77039,24.61069,-1.34351,-64.29008,N4
1.9618,0.84827,-0.01013,0.81665,23.26718,-3.22137,-58.41221,N4
1.9776,0.87292,-0.01160,0.86035,20.56489,-2.67176,-52.83969,N4
2.0007,0.87402,-0.01855,0.88293,17.06870,0.48855,-48.47328,N4
2.0145,0.85864,-0.02429,0.90234,13.37405,4.41221,-44.99237,N4
2.0293,0.83582,-0.02515,0.90283,9.58779,7.14504,-41.74046,N4
2.0464,0.80933,-0.02417,0.88586,6.10687,8.04580,-38.42748,N4
2.0604,0.79382,-0.02075,0.85669,3.12977,6.79389,-35.12977,N4
2.0748,0.79236,-0.01501,0.83984,0.74809,3.31298,-31.32825,N4
2.0896,0.79919,-0.01550,0.81665,-0.54962,-0.80916,-27.12977,N4
2.1088,0.83374,-0.01807,0.80151,-1.12977,-4.09160,-23.78626,N4
2.1241,0.86060,-0.01746,0.81604,-2.07634,-4.42748,-20.30534,N4
2.2513,0.86206,-0.01880,0.82629,-3.49618,-2.91603,-16.77863,N4
2.3772,0.85010,-0.02295,0.82361,-5.29771,-0.94656,-13.86260,N4
2.4002,0.82239,-0.03064,0.81189,-7.05344,0.88550,-11.25191,N4
2.4173,0.79968,-0.03003,0.79565,-8.38168,1.57252,-8.90076,N4
2.4317,0.78748,-0.03015,0.78137,-9.16031,1.22137,-6.62595,N4
2.4604,0.77710,-0.02771,0.76135,-9.72519,0.82443,-4.29008,N4
2.4751,0.76489,-0.02832,0.75122,-10.13740,0.91603,-2.13740,N4
2.4900,0.75220,-0.02930,0.74316,-10.50382,1.23664,-0.16794,N4
2.5192,0.73364,-0.02039,0.72925,-10.70229,1.25191,1.58779,N4
2.5336,0.72192,-0.01819,0.72034,-10.67176,0.53435,2.90076,N4
2.5493,0.70850,-0.02161,0.71436,-10.45802,-0.35115,4.32061,N4
2.5634,0.70166,-0.03320,0.70264,-9.95420,-1.00763,5.46565,N4
2.5782,0.70300,-0.04761,0.69336,-9.00763,-1.23664,6.25954,N4
2.7081,0.69788,-0.05017,0.68835,-7.77099,-0.41221,6.58015,N4
2.8370,0.70190,-0.05420,0.69385,-6.44275,1.70992,6.62595,N4
2.8521,0.69592,-0.05383,0.69360,-5.03817,4.53435,6.59542,N4
2.8670,0.68396,-0.05872,0.69482,-3.70992,6.74809,6.53435,N4
2.8863,0.67285,-0.05286,0.69849,-2.33588,7.86260,6.50382,N4
2.9072,0.66614,-0.04968,0.69275,-0.91603,7.80153,6.65649,N4
2.9219,0.66736,-0.04651,0.68591,0.36641,7.03817,6.83969,N4
2.9377,0.66858,-0.03857,0.68872,1.64885,6.47328,7.03817,N4
2.9505,0.66846,-0.03113,0.69971,2.50382,6.59542,7.09924,N4
