time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.0457,0.09436,-0.00610,1.03198,-4.65649,-10.67176,-0.50382,G1
0.0582,0.11987,0.00879,1.03882,-9.77099,-7.67939,0.24427,G1
0.0730,0.11987,0.00879,1.03882,-9.77099,-7.67939,0.24427,G1
0.0871,0.07800,-0.00647,1.01013,-10.21374,-8.33588,4.00000,G1
0.1018,0.08105,-0.03052,0.97852,-10.21374,-12.73282,7.06870,G1
0.1199,0.13379,-0.04395,0.95276,-10.01527,-14.76336,7.74046,G1
0.1373,0.14697,-0.05298,0.91711,-8.64122,-9.63359,6.10687,G1
0.1546,0.10840,-0.05896,0.90613,-6.67176,-0.27481,2.70229,G1
0.1730,0.05859,-0.05920,0.92908,-5.37405,7.06870,-1.31298,G1
0.1915,0.03296,-0.04321,0.98279,-4.27481,7.43511,-4.47328,G1
0.2090,0.06079,-0.02502,1.01245,-4.15267,1.80153,-5.08397,G1
0.3375,0.10925,-0.00806,1.00415,-4.58015,-4.90076,-3.41985,G1
0.4934,0.13501,-0.00928,0.98828,-4.90076,-7.16031,-0.99237,G1
0.5101,0.13147,-0.01965,0.97742,-5.29771,-5.54198,0.56489,G1
0.5247,0.12134,-0.02502,0.95544,-5.35878,-1.98473,0.47328,G1
0.5381,0.10791,-0.03162,0.93225,-4.93130,0.82443,-0.15267,G1
0.5506,0.09558,-0.03601,0.92712,-4.38168,1.69466,-0.27481,G1
0.5690,0.09741,-0.02588,0.93762,-4.21374,1.95420,-0.65649,G1
0.5829,0.09741,-0.01709,0.94861,-4.30534,2.21374,-1.32824,G1
0.5951,0.09265,-0.02307,0.95154,-4.13740,2.24427,-1.51145,G1
0.6081,0.08984,-0.03638,0.96399,-3.52672,0.65649,-1.19084,G1
0.6312,0.10962,-0.03638,0.97339,-2.45802,-1.03817,-0.67176,G1
0.6454,0.10669,-0.03198,0.98853,-1.51145,-1.08397,-0.27481,G1
0.6594,0.08582,-0.02783,0.99829,-1.05344,-0.33588,-0.53435,G1
0.6753,0.08276,-0.02710,0.97656,-1.06870,-1.00763,-1.16031,G1
0.6901,0.10046,-0.02637,0.95984,-1.66412,-2.50382,-0.99237,G1
0.8082,0.11755,-0.02209,0.96240,-2.59542,-1.35878,-1.69466,G1
0.9826,0.12537,-0.03296,0.98010,-2.48855,1.12977,-1.92366,G1
0.9994,0.13574,-0.02917,1.00073,-2.39695,4.45802,-1.90840,G1
1.0140,0.13257,-0.01636,0.99634,-1.80153,8.15267,-2.70229,G1
1.0267,0.09937,-0.01501,0.97119,-1.14504,11.26718,-3.70992,G1
1.0391,0.05298,-0.02612,0.92358,0.70229,10.33588,-4.35115,G1
1.0614,0.03699,-0.01306,0.90552,1.52672,5.03817,-4.19847,G1
1.0746,0.06665,-0.00574,0.89551,1.66412,-1.61832,-4.12214,G1
1.0868,0.11267,-0.00159,0.92175,1.61832,-5.51145,-3.48092,G1
1.1053,0.14685,0.00342,0.93799,0.45802,-5.78626,-2.16794,G1
1.1195,0.18042,-0.00244,0.96069,-0.53435,-0.99237,-1.43511,G1
1.1316,0.15979,-0.00696,0.98315,-0.87023,6.13740,-0.32061,G1
1.1440,0.11621,0.00134,0.96887,-0.77863,10.45802,0.33588,G1
1.1573,0.08484,0.00745,0.94678,-0.59542,9.66412,0.73282,G1
1.1688,0.05713,0.00867,0.90625,-0.44275,5.48092,1.26718,G1
1.3278,0.06201,0.00415,0.88086,0.15267,0.09160,0.74809,G1
1.3488,0.08740,0.00061,0.87329,1.38931,-4.65649,0.44275,G1
1.3628,0.11523,-0.01465,0.88501,3.19084,-6.93130,0.82443,G1
1.3863,0.14099,-0.01428,0.90271,4.93130,-5.63359,0.79389,G1
1.5293,0.15308,-0.02051,0.91602,6.30534,0.07634,0.36641,G1
