label,support,accuracy,precision,recall,f1
G1,70,0.9857142857142858,0.9583333333333334,0.9857142857142858,0.971830985915493
G2,70,1.0,0.9859154929577465,1.0,0.9929078014184397
G3,70,0.9285714285714286,0.9848484848484849,0.9285714285714286,0.9558823529411765
G4,70,1.0,1.0,1.0,1.0
G5,70,0.9714285714285714,1.0,0.9714285714285714,0.9855072463768116
G6,70,1.0,0.9859154929577465,1.0,0.9929078014184397
G7,70,0.9857142857142858,0.971830985915493,0.9857142857142858,0.9787234042553191
G8,70,1.0,1.0,1.0,1.0
G9,70,1.0,0.958904109589041,1.0,0.9790209790209791
G10,70,1.0,1.0,1.0,1.0
G11,70,1.0,1.0,1.0,1.0
G12,70,0.9857142857142858,1.0,0.9857142857142858,0.9928057553956835
G13,70,1.0,1.0,1.0,1.0
G14,60,0.9166666666666666,0.873015873015873,0.9166666666666666,0.8943089430894309
G15,60,0.9666666666666667,1.0,0.9666666666666667,0.9830508474576272
N1,60,1.0,1.0,1.0,1.0
N2,60,1.0,0.9836065573770492,1.0,0.9917355371900827
N3,60,0.85,0.9272727272727272,0.85,0.8869565217391304
N4,60,1.0,0.8955223880597015,1.0,0.9448818897637795
N5,60,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348
