epoch,train_loss,train_acc,val_loss,val_acc,val_f1,elapsed_seconds
1,1.521518,0.537808,1.111162,0.639665,0.626016,26.984198
2,0.909718,0.711495,0.874935,0.722765,0.721089,29.299133
3,0.733797,0.758437,0.573062,0.810056,0.801110,29.319147
4,0.641564,0.784065,0.518981,0.824022,0.821861,28.435383
5,0.571597,0.813753,0.409188,0.872905,0.874965,32.177547
6,0.527001,0.825679,0.361441,0.881983,0.881886,32.835038
7,0.475563,0.839635,0.336324,0.890363,0.891293,33.971987
8,0.478125,0.840142,0.272325,0.912011,0.909845,34.145124
9,0.446772,0.850799,0.294144,0.895950,0.896368,33.980738
10,0.415961,0.860695,0.293139,0.903631,0.903707,37.826473
11,0.410105,0.862471,0.285983,0.905028,0.904745,38.475632
12,0.391016,0.871099,0.218604,0.930866,0.929745,40.401351
13,0.393026,0.865516,0.285179,0.907821,0.909544,37.130414
14,0.375156,0.873256,0.228558,0.928073,0.929127,29.178452
15,0.350846,0.880233,0.220430,0.929469,0.931011,28.896980
16,0.378285,0.875285,0.238605,0.908520,0.907722,33.439602
17,0.342116,0.886958,0.212720,0.928073,0.927444,33.964324
18,0.323735,0.891144,0.200322,0.931564,0.932309,30.704832
19,0.324808,0.887465,0.223469,0.922486,0.923043,32.046273
20,0.317914,0.890764,0.185082,0.938547,0.939305,37.596217
21,0.309465,0.892032,0.169288,0.949721,0.949531,38.104153
22,0.311701,0.893428,0.153489,0.951816,0.950994,30.185050
23,0.287597,0.900533,0.198700,0.936453,0.938349,24.561037
24,0.289988,0.896473,0.140129,0.960894,0.961793,30.278108
25,0.294799,0.897995,0.146923,0.947626,0.947478,35.407729
26,0.286290,0.902182,0.202185,0.931564,0.931726,38.033735
27,0.260846,0.907511,0.129454,0.959497,0.960707,36.688608
28,0.268198,0.911063,0.139439,0.959497,0.959411,35.910444
29,0.233183,0.921847,0.127528,0.958101,0.959365,35.342949
30,0.243253,0.918168,0.148552,0.956704,0.957396,29.125000
31,0.244859,0.912966,0.126557,0.962291,0.961724,36.634524
32,0.293659,0.901167,0.147324,0.951117,0.950754,32.400602
33,0.262117,0.908145,0.122137,0.961592,0.961519,28.938628
34,0.248046,0.912078,0.113977,0.964385,0.964222,32.485414
35,0.227386,0.919183,0.112371,0.963687,0.963913,35.261375
36,0.265683,0.907638,0.143259,0.950419,0.950117,38.303753
37,0.205069,0.931236,0.097029,0.968575,0.967852,39.054176
38,0.220031,0.925146,0.091519,0.976257,0.976151,47.093933
39,0.206529,0.929333,0.105869,0.965084,0.963655,40.298220
40,0.252730,0.914996,0.101232,0.962989,0.963436,33.609601
41,0.255900,0.914489,0.121469,0.955307,0.955973,33.004477
42,0.239365,0.920959,0.088533,0.973464,0.972987,36.731149
43,0.192908,0.935676,0.082226,0.971369,0.971353,41.747854
44,0.195941,0.933900,0.110444,0.965084,0.965599,30.898529
45,0.222361,0.922862,0.080228,0.978352,0.978520,35.222988
46,0.192448,0.935296,0.136870,0.954609,0.953738,42.251434
47,0.211971,0.929713,0.083547,0.972067,0.971798,26.163116
48,0.206158,0.927556,0.104817,0.961592,0.962051,33.306700
49,0.177047,0.940624,0.117949,0.958799,0.960045,33.140972
50,0.204105,0.931616,0.078207,0.978352,0.978030,32.297897
51,0.214362,0.922101,0.065991,0.980447,0.980328,34.854064
52,0.173094,0.941132,0.094371,0.970670,0.970877,35.380977
53,0.161194,0.943289,0.093268,0.969972,0.969690,34.790718
54,0.168276,0.941766,0.066667,0.984637,0.984326,30.922117
55,0.187185,0.938341,0.071659,0.980447,0.980524,29.716114
56,0.179685,0.941132,0.084108,0.970670,0.970602,31.301586
