label_id,split,trials
G1,test,70
G1,train,380
G1,val,60
G10,test,70
G10,train,392
G10,val,72
G11,test,70
G11,train,390
G11,val,80
G12,test,70
G12,train,390
G12,val,80
G13,test,70
G13,train,390
G13,val,80
G14,test,60
G14,train,380
G14,val,80
G15,test,60
G15,train,380
G15,val,80
G2,test,70
G2,train,400
G2,val,60
G3,test,70
G3,train,420
G3,val,60
G4,test,70
G4,train,440
G4,val,80
G5,test,70
G5,train,420
G5,val,80
G6,test,70
G6,train,400
G6,val,80
G7,test,70
G7,train,400
G7,val,80
G8,test,70
G8,train,400
G8,val,80
G9,test,70
G9,train,400
G9,val,80
N1,test,60
N1,train,380
N1,val,60
N2,test,60
N2,train,380
N2,val,60
N3,test,60
N3,train,380
N3,val,60
N4,test,60
N4,train,380
N4,val,60
N5,test,60
N5,train,380
N5,val,60
