model,label_id,label_name,support,recognition_accuracy_percent
cnn,G1,star_first,70,97.1429
cnn,G2,select_wrist_rotate,70,100.0
cnn,G3,tv_favorite_chanel,70,98.5714
cnn,G4,tv_swtich_source,70,100.0
cnn,G5,tv_channel_up,70,98.5714
cnn,G6,tv_channel_down,70,98.5714
cnn,G7,tv_voice_search,70,98.5714
cnn,G8,speaker_volume_up,70,98.5714
cnn,G9,speaker_volume_down,70,98.5714
cnn,G10,light_on,70,100.0
cnn,G11,light_off,70,100.0
cnn,G12,curtain_close,70,100.0
cnn,G13,curtain_open,70,100.0
cnn,G14,stop_palm,60,91.6667
cnn,G15,emergency_reset,60,100.0
cnn,N1,noise_walking,60,100.0
cnn,N2,noise_watch,60,100.0
cnn,N3,noise_typing,60,100.0
cnn,N4,noise_drinking,60,100.0
cnn,N5,noise_scratch,60,98.3333
lstm,G1,star_first,70,100.0
lstm,G2,select_wrist_rotate,70,100.0
lstm,G3,tv_favorite_chanel,70,100.0
lstm,G4,tv_swtich_source,70,100.0
lstm,G5,tv_channel_up,70,98.5714
lstm,G6,tv_channel_down,70,100.0
lstm,G7,tv_voice_search,70,100.0
lstm,G8,speaker_volume_up,70,100.0
lstm,G9,speaker_volume_down,70,100.0
lstm,G10,light_on,70,100.0
lstm,G11,light_off,70,100.0
lstm,G12,curtain_close,70,100.0
lstm,G13,curtain_open,70,100.0
lstm,G14,stop_palm,60,95.0
lstm,G15,emergency_reset,60,100.0
lstm,N1,noise_walking,60,100.0
lstm,N2,noise_watch,60,100.0
lstm,N3,noise_typing,60,100.0
lstm,N4,noise_drinking,60,100.0
lstm,N5,noise_scratch,60,100.0
transformer,G1,star_first,70,100.0
transformer,G2,select_wrist_rotate,70,100.0
transformer,G3,tv_favorite_chanel,70,100.0
transformer,G4,tv_swtich_source,70,100.0
transformer,G5,tv_channel_up,70,100.0
transformer,G6,tv_channel_down,70,100.0
transformer,G7,tv_voice_search,70,100.0
transformer,G8,speaker_volume_up,70,100.0
transformer,G9,speaker_volume_down,70,100.0
transformer,G10,light_on,70,100.0
transformer,G11,light_off,70,100.0
transformer,G12,curtain_close,70,100.0
transformer,G13,curtain_open,70,100.0
transformer,G14,stop_palm,60,100.0
transformer,G15,emergency_reset,60,100.0
transformer,N1,noise_walking,60,100.0
transformer,N2,noise_watch,60,100.0
transformer,N3,noise_typing,60,98.3333
transformer,N4,noise_drinking,60,98.3333
transformer,N5,noise_scratch,60,100.0
