epoch,train_loss,train_acc,val_loss,val_acc,val_f1,elapsed_seconds
1,1.526334,0.537173,1.130211,0.643855,0.632514,9.365085
2,0.914452,0.710099,0.866356,0.723464,0.724325,11.522446
3,0.734585,0.761228,0.573694,0.800978,0.789590,8.705070
4,0.643800,0.781908,0.522840,0.818436,0.814551,9.258475
5,0.568177,0.814007,0.413102,0.872207,0.873862,8.682319
6,0.523043,0.827328,0.360700,0.875000,0.875407,8.572311
7,0.476377,0.838112,0.319881,0.898045,0.899453,9.024722
8,0.472471,0.837858,0.258890,0.919693,0.918488,9.373339
9,0.433850,0.853590,0.264662,0.907821,0.908666,10.107225
10,0.403313,0.863740,0.301222,0.900838,0.900776,10.243722
11,0.396694,0.867546,0.306746,0.894553,0.896141,10.378867
12,0.391954,0.870972,0.214148,0.930168,0.928459,10.051187
13,0.384330,0.870337,0.250316,0.923184,0.924395,10.165298
14,0.364564,0.874524,0.225110,0.931564,0.932202,10.467564
15,0.340749,0.882263,0.203429,0.929469,0.930300,11.354316
16,0.365792,0.878965,0.236871,0.916201,0.914898,10.554543
17,0.330293,0.889749,0.205162,0.925279,0.924810,10.483942
18,0.321427,0.891018,0.183356,0.933659,0.933792,10.689364
19,0.311097,0.895204,0.199364,0.933659,0.931576,10.492068
20,0.291086,0.899899,0.176453,0.945531,0.946409,10.855822
21,0.286812,0.901040,0.197211,0.935754,0.935562,11.448990
22,0.294580,0.899391,0.153550,0.955307,0.954115,11.145072
23,0.271281,0.908399,0.192922,0.938547,0.939586,11.008674
24,0.283533,0.901421,0.153424,0.951117,0.951453,11.240390
25,0.289652,0.901040,0.133905,0.951816,0.950701,11.672220
26,0.278197,0.904212,0.181278,0.938547,0.938850,14.003069
27,0.260761,0.911063,0.117248,0.967877,0.968616,18.753716
28,0.263221,0.910556,0.147280,0.953212,0.953269,14.296821
29,0.216462,0.926795,0.130825,0.956704,0.958239,14.258579
30,0.218291,0.923370,0.122838,0.961592,0.962768,15.896722
31,0.220647,0.920452,0.109243,0.969972,0.968896,14.911087
32,0.256297,0.913981,0.160785,0.948324,0.947829,13.268368
33,0.257855,0.910175,0.163761,0.944832,0.945500,11.138514
34,0.225612,0.922735,0.111211,0.963687,0.963147,11.387659
35,0.213539,0.927556,0.092938,0.971369,0.971460,11.221108
36,0.253906,0.912205,0.111600,0.965084,0.964877,11.940361
37,0.190199,0.935930,0.093850,0.974162,0.972921,11.497692
38,0.195104,0.934915,0.077737,0.976955,0.977080,12.827213
39,0.197672,0.932251,0.091471,0.974860,0.974772,13.053827
40,0.222341,0.926288,0.098840,0.969274,0.970445,13.089935
41,0.219264,0.926922,0.098224,0.967877,0.967663,11.482080
42,0.211418,0.930728,0.086573,0.975559,0.974447,12.103886
43,0.176675,0.940497,0.066974,0.979050,0.978889,11.710602
44,0.194296,0.933012,0.104749,0.956704,0.957248,11.166109
45,0.223739,0.925653,0.071107,0.977654,0.977258,10.945973
